atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2437252942,단독,단독/다가구,매매,1/B1,342000,0,"34억 2,000",755,161.68,남동향,24.07.29.,37.593723,126.961146,탁트인 북악산 전망의 조용하고 쾌적한 단독 주택,"['25년이상', '방네개이상', '화장실세개', '남동향']",,종로구 부암동
2435278067,전,토지,매매,-,700000,0,70억,4743,0,,24.07.18.,37.591688,126.961478,"부암동 내 고급 저택 부지 건축, 자연친화적인 토지",[],,종로구 부암동
2435372323,단독,단독/다가구,매매,2/B1,280000,0,28억,463,166.84,남향,24.07.18.,37.592676,126.962056,THE 부암동 초입 입주협의 가능 단독주택,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 부암동
2436812271,대,토지,매매,-,120000,0,12억,317,0,,24.07.26.,37.592941,126.959618,산 속의 신축부지 매도  ,[],,종로구 부암동
2436815342,단독,단독/다가구,전세,2/-,95000,0,"9억 5,000",463,166.84,남향,24.07.26.,37.592676,126.962056,북악산을 바라보는 인왕산자락의 조용한 단독주택 전세,"['25년이상', '융자금없는', '방네개이상']",,종로구 부암동
2436887261,단독,단독/다가구,월세,2/2,10000,500,1억,-,126.48,동향,24.07.26.,37.589202,126.963757,"북한산, 북악산 다보이는 전망좋은 주택2층 월세","['25년이상', '융자금적은', '방두개']",,종로구 부암동
2436543576,일반상가,상가,월세,2/2,30000,125,3억,137,137.08,북동향,24.07.25.,37.592796,126.96377,원하는 대로 수리 해주는 근린건물 2층 전세,"['25년이내', '융자금적은', '고층', '주차가능']",,종로구 부암동
2436542001,일반상가,상가,월세,1/2,8800,220,"8,800",29,29,북향,24.07.25.,37.592796,126.96377,15년째 성업중인 터 좋은 부암동 메인 상권 대로변 상가 테라스보유,"['25년이내', '테라스', '1층', '총2층']",,종로구 부암동
2436540554,단독,단독/다가구,전세,전체층/2,150000,0,15억,433,248.35,북향,24.07.25.,37.592726,126.959845,깨끗하게 리모델링 된 북한산 전망의 단독주택 매매,"['15년이내', '융자금적은', '방네개이상']",,종로구 부암동
2436537039,단독,단독/다가구,매매,1/B1,234000,0,"23억 4,000",387,198,남동향,24.07.25.,37.589537,126.9635,전망 좋은 실제 2층 단독주택,"['25년이상', '마당', '방네개이상', '화장실두개']",,종로구 부암동
2436487817,단독,단독/다가구,전세,1/-,70000,0,7억,324,66.12,북동향,24.07.25.,37.592271,126.95943,북한산을 파노라마로 바라볼수있는 전망좋은 단독주택,"['25년이상', '방두개', '화장실두개']",,종로구 부암동
2436534709,단독,단독/다가구,매매,2/-,260000,0,26억,446,237.54,동향,24.07.25.,37.590201,126.96118,급매 북악산 전망의 정원이 아름다운 단독주택,"['25년이내', '마당', '급매']",,종로구 부암동
2436403362,단독,단독/다가구,월세,2/2,10000,500,1억,126,126.48,동향,24.07.24.,37.589202,126.963757,북한산과 북악산 전경을 바라보는 단독주택 2층 전체 임대차 ,"['25년이상', '융자금적은', '방두개']",,종로구 부암동
2436330102,단독,단독/다가구,매매,2/-,450000,0,45억,594,208,남향,24.07.24.,37.590227,126.963818,부암동 단독주택 매매 모던한 구조와 최상의 뷰를 가진 단독주택,"['15년이내', '방네개이상', '화장실두개']",,종로구 부암동
2436302905,단독,단독/다가구,매매,1/B1,200000,0,20억,331,130.6,남향,24.07.23.,37.591367,126.964607,부암동 단독주택 매매 인왕산이 한눈에 보이는 뷰와 넓은 정원,"['25년이상', '마당', '방세개', '화장실두개']",,종로구 부암동
2436202321,단독,단독/다가구,매매,1/-,230000,0,23억,444,63.47,남향,24.07.23.,37.590765,126.961789,,"['25년이상', '방세개', '화장실한개', '주차가능']",,종로구 부암동
2436197903,대,토지,매매,-,280000,0,28억,1010,0,,24.07.23.,37.59056,126.961223,"신축 가능한 대지, 자연환경 우수",[],,종로구 부암동
