atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2434831720,안성타워(주상복합),아파트,매매,고/9,78000,0,"7억 8,000",181,145.18,남동향,24.07.15.,37.610066,126.976348,"망설이면 늦습니다. 마운틴 뷰, 최고 평창동 급매 아파트","['25년이상', '급매', '대형평수']",1동,종로구 평창동
2435468411,단독,단독/다가구,월세,전체층/2,6000,2000,"6,000",671,255.81,남향,24.07.19.,37.612965,126.975489,"평창동 단독주택 전세, 렌트 가능한 끝이 안보이는 정원의 리모델링 대저택","['25년이상', '마당', '방네개이상']",,종로구 평창동
2436679105,삼성,아파트,매매,고/15,70000,0,7억,85,59.97,남서향,24.07.25.,37.61086,126.978546,"15층중 14층, 뷰가 아주 좋고 주택내부 깨끗함, 베란다 확장, ","['25년이상', '확장형', '방세개', '화장실한개']",101동,종로구 평창동
2436676139,평창롯데캐슬로잔,아파트,매매,고/11,300000,0,30억,276,239.48,남향,24.07.25.,37.609959,126.977573,"조망권 좋은 고층 남향, 팔각정주변 숲뷰 아주좋음, 리모델링해서 럭셔리,","['25년이내', '대형평수', '방네개이상']",101동,종로구 평창동
2435380766,단독,단독/다가구,매매,2/B1,290000,0,29억,450,229.08,남향,24.07.18.,37.612442,126.977418,THE 넓은 마당을 가진 프라이빗 단독주택,"['25년이상', '마당', '방네개이상']",,종로구 평창동
2435368468,단독,단독/다가구,매매,2/B1,580000,0,58억,740,401.08,남향,24.07.18.,37.613583,126.974182,LX 주인직접 넓은대지와 환상적인 뷰를 자랑하는 주택,"['25년이상', '방네개이상', '화장실네개이상', '주차가능']",,종로구 평창동
2435381506,단독,단독/다가구,매매,2/B1,360000,0,36억,364,293.57,남향,24.07.18.,37.614117,126.979059,신축단독주택 매매 엘리베이터 있는 세대,"['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2435380363,단독,단독/다가구,매매,2/B1,500000,0,50억,656,316.06,남향,24.07.18.,37.612489,126.973925,"THE 길 끝의 프라이빗 단독, 넓은 대지, 완벽한 조망권","['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2435368099,단독,단독/다가구,매매,2/B1,290000,0,29억,375,197,남향,24.07.18.,37.612645,126.975686,LX 주인직접 가나아트센터 메인도로 이면 대지모양 예쁜 주택 추천,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 평창동
2435377846,단독,단독/다가구,매매,2/B1,250000,0,25억,370,165.05,남향,24.07.18.,37.612615,126.979268,THE 전망특화 거실 안방에서 펼쳐지는 압도적인 뷰,"['25년이상', '방네개이상', '화장실두개']",,종로구 평창동
2435196868,빌라,빌라,매매,1/2,290000,0,29억,213,129.8,남향,24.07.17.,37.61209,126.974772,"신축첫입주,가나아트센터 앞,럭셔리 주택","['2년이내', '1층', '대형평수']",,종로구 평창동
2435188647,단독,단독/다가구,매매,2/B1,920000,0,92억,671,255.81,남향,24.07.17.,37.612965,126.975489,평창동 컨디션 좋은 가나아트센터 인근 메인거리 단독주택 매매,"['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2434913921,단독,단독/다가구,매매,2/B1,680000,0,68억,982,674.54,남향,24.07.16.,37.615989,126.979036,급매 내외관 최상 내부 멀티룸까지 보유한 신축대저택,"['10년이내', '급매', '방네개이상']",,종로구 평창동
2434902775,단독,단독/다가구,매매,3/B1,280000,0,28억,466,637.2,남동향,24.07.16.,37.61209,126.974772,빌라드보 가나아트센터라인 인접 신축 타운하우스 매매,"['2년이내', '방세개', '화장실세개']",,종로구 평창동
2434890339,단독,단독/다가구,매매,2/B1,332500,0,"33억 2,500",440,171.58,남서향,24.07.16.,37.61328,126.978814,우수한전망 임대수익또한 가능,"['25년이상', '방네개이상', '화장실네개이상']",,종로구 평창동
2434637064,단독,단독/다가구,매매,2/B1,280000,0,28억,443,163.34,남향,24.07.15.,37.612415,126.977195,"THE 정원생활에 딱맞는 단독주택 리모델링, 전망 확보","['25년이상', '마당', '방세개', '화장실두개']",,종로구 평창동
2434812537,빌라,빌라,매매,중/2,290000,0,29억,211,129.05,남동향,24.07.15.,37.61209,126.974772,가나아트센터  인접 신축 타운하우스  첨단 스마트홈 시스템  가전 풀옵션,"['2년이내', '테라스', '대형평수']",,종로구 평창동
2434737593,단독,단독/다가구,매매,1/B2,320000,0,32억,497,217.52,남향,24.07.15.,37.614256,126.978181,"넓고 편한 진입로, 조망 좋음, 잘 관리된 주택","['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2434639900,단독,단독/다가구,전세,2/-,200000,0,20억,443,163.34,남향,24.07.15.,37.612415,126.977195,"THE 정원생활에 딱맞는 단독주택 리모델링, 전망 확보","['25년이상', '마당', '방세개', '화장실두개']",,종로구 평창동
2434639319,단독,단독/다가구,매매,2/B1,330000,0,33억,440,171.58,남향,24.07.15.,37.61328,126.978814,THE 신축가능한 가성비 좋은 단독주택,"['25년이상', '방네개이상', '화장실네개이상', '주차가능']",,종로구 평창동
2434495184,연립,빌라,매매,9/9,90000,0,9억,181,145.18,북동향,24.07.13.,37.610057,126.976307,"사방 탁트인 9층빌라중 탑층, 내부층고 높아 쾌적하고, 실내 항상 밝음,","['25년이상', '대형평수', '탑층']",,종로구 평창동
2434254296,단독,단독/다가구,매매,2/-,420000,0,42억,906,131,남향,24.07.12.,37.6156,126.978088,"평창동 단독주택 매매, 압도적인 대지면적과 탁트인 조망권 을 자랑하는 집","['10년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2434293850,단독,단독/다가구,매매,2/B1,580000,0,58억,740,400,남향,24.07.12.,37.613583,126.974182,큰길인근 남향 넓은 정원과 압도적 전망,"['25년이상', '마당', '방네개이상', '화장실네개이상']",,종로구 평창동
2434175652,대,토지,매매,-,280000,0,28억,823,0,,24.07.11.,37.613671,126.979768,신축부지 매매 두필지,[],,종로구 평창동
2434971162,평창롯데캐슬로잔,아파트,매매,중/5,250000,0,25억,253,219.77,남향,24.07.16.,37.610405,126.978111,대출없이 깨끗한 대형평수 고급 아파트 평창동 랜드마크 롯데캐슬,"['25년이내', '대형평수', '방세개', '화장실세개']",105동,종로구 평창동
2434972531,삼성,아파트,매매,고/15,78000,0,"7억 8,000",83,59.95,남향,24.07.16.,37.611197,126.978949,숲과 하늘이 보이는 채광 좋은 아파트  ,"['25년이상', '방세개', '화장실한개']",102동,종로구 평창동
2433840077,연립,빌라,월세,중/5,40000,200,4억,-,138.53,남향,24.07.10.,37.610138,126.974855,큰 길과 가깝지만 조용한 접근성 좋은 주택입니다. ,"['25년이내', '화장실두개', '방세개']",,종로구 평창동
2435052158,삼성,아파트,매매,중/15,85000,0,"8억 5,000",108,84.93,남향,24.07.16.,37.611197,126.978949,전망. 채광. 올리모텔링. 살기좋은 깨끗한 아파트.,"['25년이상', '방세개', '화장실두개', '중층']",102동,종로구 평창동
2433775215,단독,단독/다가구,매매,2/B1,920000,0,92억,671,255.81,남향,24.07.09.,37.612965,126.975489,평창동 가나아트센터 초입 올리모델링된 컨디션 좋은 주택 매매,"['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2433772744,단독,단독/다가구,월세,전체층/2,40000,2700,4억,982,675,남향,24.07.09.,37.615989,126.979036,평창동 신축급 단독주택 매매 월세 파노라마 뷰가 끝내주는 집,"['10년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2434758150,엘리시아,아파트,매매,중/5,155000,0,"15억 5,000",262,236.07,남향,24.07.15.,37.60971,126.975866,친환경적인 주변 환경에서 접근성이 좋은 평창동 중심에 위치.,"['15년이내', '대형평수', '방네개이상', '화장실두개']",1동,종로구 평창동
2433823479,삼성,아파트,매매,중/15,70000,0,7억,85,59.97,남향,24.07.10.,37.61086,126.978546,"급매, 채광 전망 좋음.","['25년이상', '급매', '방세개', '화장실한개']",101동,종로구 평창동
2438413577,단독,단독/다가구,매매,2/B1,450000,0,45억,766,297,남향,24.08.05.,37.615195,126.977954,평창동 단독주택 급매매 가격조절.입주가능,"['25년이상', '급매', '방네개이상', '화장실세개']",,종로구 평창동
2438046102,엘리시아,아파트,전세,1/5,110000,0,11억,236,213.07,남향,24.08.03.,37.60971,126.975866,종로구 평창동 자연주의 아파트 엘리시아,"['15년이내', '융자금없는', '1층', '대형평수']",1동,종로구 평창동
2437540445,대,토지,매매,-,170000,0,17억,1150,0,,24.07.31.,37.614242,126.980779,개인사정으로 급매처분,['급매'],,종로구 평창동
2435941126,엘리시아,아파트,매매,1/5,145000,0,"14억 5,000",236,213.07,남향,24.07.22.,37.60971,126.975866,"실입주가능,4룸2화,드레스룸,도배,청소완 ","['15년이내', '1층', '대형평수', '방네개이상']",1동,종로구 평창동
2435024820,단독,단독/다가구,매매,2/B1,330000,0,33억,440,171.58,남서향,24.07.16.,37.61328,126.978814,조망권 좋은 아담한 주택 입니다.,"['25년이상', '방네개이상', '화장실네개이상', '총2층']",,종로구 평창동
2438837153,빌라,빌라,매매,2/3,320000,0,32억,222,222.84,남향,24.08.08.,37.609224,126.968076,킹스 완벽합니다,"['25년이상', '대형평수', '방세개']",,종로구 평창동
2438837208,단독,단독/다가구,매매,2/B1,225000,0,"22억 5,000",218,166.82,남향,24.08.08.,37.609228,126.970986,,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 평창동
2438877525,빌라,빌라,매매,중/3,56000,0,"5억 6,000",109,71.02,남향,24.08.08.,37.608646,126.971449,,"['10년이내', '화장실두개', '방세개', '중층']",,종로구 평창동
2438884589,단독,단독/다가구,매매,2/B1,637000,0,"63억 7,000",600,345.22,남향,24.08.08.,37.608765,126.965348,입지좋은 대지 180p 평창동 단독주택 컨디션 좋은 매물,"['25년이내', '방네개이상', '화장실세개']",,종로구 평창동
2438718072,빌라,빌라,매매,1/3,46000,0,"4억 6,000",88,79.48,남동향,24.08.07.,37.60526,126.967599,서울예고 인근 평창동 최저가 쓰리룸 준신축빌라 매매,"['25년이내', '1층', '방세개', '화장실두개']",,종로구 평창동
2438638841,연립,빌라,매매,3/3,110000,0,11억,176,126.96,남향,24.08.07.,37.607872,126.967211,"직접관리매물, 평창동 평지에 단지형빌라, 주거환경과 교육환경 좋음,","['25년이상', '대형평수', '탑층', '방네개이상']",,종로구 평창동
2438637547,빌라,빌라,전세,2/3,32000,0,"3억 2,000",78,53.58,남향,24.08.07.,37.60625,126.965817,"평창동 접근성 좋은 빌라, 2룸","['25년이상', '융자금없는', '화장실한개']",,종로구 평창동
2438768611,빌라,빌라,매매,1/3,100000,0,10억,164,127.86,남향,24.08.07.,37.608849,126.971622,"조망좋은 평창동빌라, 내부올수리, 버스정류장 2분","['25년이상', '올수리', '1층', '대형평수']",,종로구 평창동
2438543314,빌라,빌라,매매,저/3,80000,0,8억,84,84.95,남향,24.08.06.,37.607952,126.968693,숲세권으로 여름에 시원한 빌라,"['25년이상', '방세개', '화장실한개']",,종로구 평창동
2438499002,단독,단독/다가구,매매,2/B1,637000,0,"63억 7,000",600,345,남향,24.08.06.,37.608765,126.965348,LX 주인직접 튼튼하고 안정감을 주는 단독주택 고칠데가 없습니다,"['25년이내', '방네개이상', '화장실세개']",,종로구 평창동
2438580158,빌라,빌라,매매,중/5,49000,0,"4억 9,000",66,52.48,북서향,24.08.06.,37.607148,126.972526,"평창동 서울예고에 인접한 실거주,갭투자 모두 가능한 물건","['10년이내', '방세개', '화장실한개']",,종로구 평창동
2438327040,단독,단독/다가구,매매,2/B1,225000,0,"22억 5,000",218,166.82,남향,24.08.05.,37.609228,126.970986,올리모델링 되어 있는 단독주택 매매,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 평창동
2438363592,빌라,빌라,매매,2/3,45000,0,"4억 5,000",64,49.36,남향,24.08.05.,37.608646,126.971449,전망 좋은 평창동 투룸 빌라 ,"['10년이내', '화장실한개', '방두개']",,종로구 평창동
2438272888,빌라,빌라,매매,3/6,85000,0,"8억 5,000",142,103.07,남향,24.08.05.,37.607576,126.973394,채광접근성굿 및 숲뷰 최고 및 넓은 내부,"['25년이내', '화장실두개', '대형평수']",,종로구 평창동
2437865560,금강,아파트,매매,1/3,73000,0,"7억 3,000",120,84.95,남동향,24.08.02.,37.60881,126.968664,평창동 도심속 전원생활이 있는 집,"['25년이상', '1층', '방세개', '화장실한개']",5동,종로구 평창동
2437969249,중소형사무실,사무실,월세,4/5,2000,80,"2,000",66,66,동향,24.08.02.,37.605963,126.966423,BEST 평창동 임대료 저렴한 다용도 사무실,"['25년이상', '융자금없는', '고층', '관리비20만원이하']",,종로구 평창동
2438844185,형우럭스빌,아파트,매매,저/6,83000,0,"8억 3,000",115,103.07,남향,24.08.08.,37.607585,126.973316,평창동 형우럭스빌 숲세권 올리모델링된 고급아파트,"['25년이내', '방세개', '화장실두개', '세대당1대']",1동,종로구 평창동
2437685974,빌라,빌라,매매,저/6,83000,0,"8억 3,000",115,103.07,남향,24.08.01.,37.607576,126.973394,평창동 숲세권 올리모델링된 고급빌라,"['25년이내', '방세개', '화장실두개', '주차가능']",,종로구 평창동
2437769580,빌라,빌라,매매,1/3,130000,0,13억,164,127.86,남향,24.08.01.,37.608849,126.971622,올수리 전망좋고 투자가치있슴,"['25년이상', '올수리', '1층', '대형평수']",,종로구 평창동
2437630237,빌라,빌라,매매,2/3,58000,0,"5억 8,000",122,79.62,남향,24.07.31.,37.608646,126.971449,환상적인 뷰 맛집 피톤치드 향 물씬 멋진 쓰리룸빌라,"['10년이내', '방세개', '화장실두개']",,종로구 평창동
