atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2437714070,단독,단독/다가구,매매,1/-,500000,0,50억,357,191.74,남동향,24.08.01.,37.57701,126.967624,,"['25년이상', '역세권', '방네개이상', '화장실네개이상']",,종로구 사직동
2437660898,일반원룸,원룸,월세,고/3,500,40,500,15,15,북동향,24.07.31.,37.574061,126.966964,"전세로 전환 가능
즉시입주 가능한 
저렴한 원룸 임대","['25년이상', '융자금적은', '소형평수', '방한개']",,종로구 사직동
2437660721,일반원룸,원룸,전세,3/3,5000,0,"5,000",20,20,북동향,24.07.31.,37.574061,126.966964,"사직공원 앞 초저렴한 원룸 전세
반전세나 월세로 전환가능","['25년이상', '융자금없는', '소형평수', '방한개']",,종로구 사직동
2437453015,일반사무실,사무실,월세,2/3,1000,80,"1,000",33,33,남향,24.07.30.,37.574803,126.967447,경복궁역도보3분,"['25년이상', '융자금없는', '역세권', '중층']",,종로구 사직동
2437306868,광화문스페이스본(주상복합),아파트,전세,중/14,140000,0,14억,176,146.92,동향,24.07.29.,37.574285,126.967997,TOP광화문역세권 관리잘된집 귀한전세매물,"['25년이내', '역세권', '대형평수', '방네개이상']",103동,종로구 사직동
2436664624,빌라,빌라,매매,1/2,36000,0,"3억 6,000",39,35.88,남동향,24.07.25.,37.57475,126.965712,조용한 주택가 대지지분 넓은 2룸 빌라 매매 주차가능,"['25년이상', '1층', '소형평수', '방두개']",,종로구 사직동
2435838664,기타,빌라,전세,2/2,25000,0,"2억 5,000",45,40,동향,24.07.21.,37.572585,126.966578,깔끔한 2룸 귀한 전세,"['25년이내', '융자금없는', '소형평수', '탑층']",,종로구 사직동
2434597084,단독,단독/다가구,월세,-/-,2500,25,"2,500",357,0,북향,24.07.13.,37.57701,126.967624,,"['25년이상', '융자금적은', '역세권', '1층']",,종로구 사직동
2433840401,일반상가,상가,매매,B1/12,22000,0,"2억 2,000",20,10.86,북향,24.07.10.,37.574426,126.968902,,"['25년이내', '역세권', '지하층', '북향']",,종로구 사직동
2438200771,단독,단독/다가구,매매,1/B1,85000,0,"8억 5,000",125,40.33,남향,24.08.05.,37.575318,126.965147,사직동 한옥 매매,"['25년이상', '방세개', '화장실한개']",,종로구 사직동
2437987536,빌라,빌라,매매,고/4,38000,0,"3억 8,000",516,51.6,서향,24.08.02.,37.574478,126.96501,사직터널 위.종로문화체육센타아래. 임차인 거주중,"['25년이내', '대형평수', '방두개', '화장실한개']",,종로구 사직동
2437486184,빌라,빌라,매매,1/4,13900,0,"1억 3,900",24,20.31,동향,24.07.30.,37.574528,126.96532,급매 최저가 원룸 입주협의 조용한 도심지 주택가,"['25년이내', '1층', '급매', '소형평수']",,종로구 사직동
2437960454,일반원룸,빌라,매매,저/4,13900,0,"1억 3,900",28,20.31,남향,24.08.02.,37.574528,126.96532,다세대주택 귀한소형 원룸 매매 ,"['25년이내', '소형평수', '방한개', '화장실한개']",,종로구 사직동
2437660793,기타,빌라,매매,고/3,70000,0,7억,59,53.87,남향,24.07.31.,37.575494,126.9653,복층구조 다세대주택 매매,"['25년이상', '소형평수', '방네개이상', '화장실두개']",,종로구 사직동
2437660676,상가주택,상가주택,매매,1/-,100000,0,10억,92,62.81,남향,24.07.31.,37.573628,126.964819,한옥 게스트하우스로 이용중,"['25년이내', '방네개이상', '화장실두개', '남향']",,종로구 사직동
2435630325,일반원룸,단독/다가구,매매,1/B1,13900,0,"1억 3,900",9,25,동향,24.07.19.,37.574528,126.96532,1층 귀한 원룸 매매,"['25년이내', '화장실한개', '주차가능', '총4층']",,종로구 사직동
2434624430,상가건물,건물,매매,1/-,112000,0,"11억 2,000",92,62.8,,24.07.15.,37.573628,126.964819,서울성곽과 사직공원에 인접하여 조용하고 쾌적한 상업용 건물,['25년이상'],,종로구 사직동
