atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2434453121,일반상가,상가,월세,B2/3,24660,2055,"2억 4,660",453,453.21,남향,24.07.13.,37.589274,126.96844,청운동 근교 자연속에 있는 느낌 연출이 가능한 중대형 상가임대,"['2년이내', '지하층', '관리비10만원이하', '주차가능']",,종로구 청운동
2434072066,단독,단독/다가구,매매,1/-,520000,0,52억,714,111.07,남향,24.07.11.,37.589983,126.969671,"남산타워, 북악산, 인왕산 전망의 아늑한 명당 고급주택부지","['25년이상', '방세개', '화장실두개']",,종로구 청운동
2434169318,빌딩,건물,매매,4/B1,500000,0,50억,190,449.35,,24.07.11.,37.587033,126.969866,"신축급 리모델링, 내외관 컨디션 우수, 올근생빌딩",['25년이상'],,종로구 청운동
2433789398,빌딩,건물,매매,4/B1,800000,0,80억,351,915.57,,24.07.09.,37.586541,126.969594, 자하문로 경복고앞 대로변에 개발수혜지역 청운동 사옥 가격넞춤,['25년이상'],,종로구 청운동
2438914500,빌라,빌라,매매,2/5,60000,0,6억,76,65.59,남향,24.08.08.,37.586495,126.968488,"청운초등후문, 유치원, 수영장 부근, 조용한 부촌 주택가, 채광있음","['15년이내', '방세개', '화장실한개', '중층']",,종로구 청운동
2438046704,일반상가,상가,월세,B2/3,24660,2055,"2억 4,660",452,340.5,남향,24.08.03.,37.589274,126.96844,청운동 고급정원있는 신축 건물 임대,"['2년이내', '융자금없는', '마당', '지하층']",,종로구 청운동
2437661305,빌라,빌라,매매,저/3,110000,0,11억,112,83.61,남향,24.07.31.,37.591301,126.968203,초급매 올수리 빠른입주가능,"['25년이상', '올수리', '급매', '방세개']",,종로구 청운동
2436286606,빌라,빌라,매매,2/5,65000,0,"6억 5,000",84,79.14,동향,24.07.23.,37.58659,126.969069,"청운유치원과 수영장 도보 3분거리, 청운동 조용한 주택가, 학교 다수","['25년이내', '방세개', '화장실두개', '중층']",,종로구 청운동
2434718025,빌라,빌라,전세,2/5,43000,0,"4억 3,000",84,79.14,동향,24.07.15.,37.58659,126.969069,"청운유치원과 수영장 도보 3분거리, 청운동 조용한 주택가, 학교 다수","['25년이내', '융자금없는', '방세개', '화장실두개']",,종로구 청운동
2434095212,단독,단독/다가구,매매,1/-,55000,0,"5억 5,000",51,49.59,서향,24.07.11.,37.589325,126.968681,청운동 부촌입구 소형 주택 매매,"['25년이상', '소형평수', '방두개', '화장실한개']",,종로구 청운동
2434101292,단독,단독/다가구,전세,-/-,35000,0,"3억 5,000",51,0,서향,24.07.11.,37.589325,126.968681,청운동 부촌입구 소형 주택 전세,"['25년이상', '융자금없는', '1층', '소형평수']",,종로구 청운동
2438755783,단독,단독/다가구,매매,2/-,100000,0,10억,109,83.17,동향,24.08.07.,37.585793,126.970617,주변건물 이용해 재건축 가능,"['25년이상', '방네개이상', '화장실세개', '동향']",,종로구 청운동
2439016149,다가구,단독/다가구,매매,3/B1,690000,0,69억,537,644.96,남동향,24.08.08.,37.585904,126.971984,넓은대지로 다용도 규모로 사용할수 있는 단독주택입니다. 임차명도가능함,"['25년이상', '방네개이상', '화장실네개이상', '주차가능']",,종로구 청운동
2438854468,빌딩,건물,매매,2/B1,415000,0,"41억 5,000",203,312.57,,24.08.08.,37.585688,126.970293,청운동 유동인구 많고 상권형성에 유리한 건물,['25년이상'],,종로구 청운동
2438787798,빌라,빌라,전세,B1/3,30000,0,3억,-,94.66,남동향,24.08.07.,37.58461,126.970664,청운동 넓은 반지층 빌라,"['25년이내', '방세개', '화장실두개', '주차가능']",,종로구 청운동
2436866278,단독,단독/다가구,매매,2/-,118000,0,"11억 8,000",109,83.17,남향,24.07.26.,37.585793,126.970617,지분33.층고높음.나만의 작업실.카페등 리모델링하면 좋을 곳,"['25년이상', '방세개', '화장실한개', '남향']",,종로구 청운동
2438326477,일반상가,상가,매매,B1/2,420000,0,42억,312,312.57,서향,24.08.05.,37.585688,126.970293,청운동 위치좋은 대로변건물 매매입니다.,"['25년이상', '지하층', '주차가능', '총2층']",,종로구 청운동
2436183358,일반상가,상가,월세,1/3,3000,300,"3,000",70,70.29,남향,24.07.23.,37.585389,126.97105,"성업중인 분위기 좋은 카페,특급상태,일체시설포함","['25년이상', '융자금없는', '1층', '천장에어컨']",,종로구 청운동
2435930854,일반상가,상가,월세,2/2,10000,700,1억,97,97.95,서향,24.07.22.,37.585688,126.970293,청운동 위치좋은 대로변건물 통임대 상가주택,"['25년이상', '고층', '주차가능', '총2층']",,종로구 청운동
2437608995,상가건물,건물,매매,3/B1,550000,0,55억,283,568.35,,24.07.31.,37.585577,126.970486,"대지88건물매매, 근생과다세대함께있는건물, 대로이면건물",['25년이상'],,종로구 청운동
2437216838,일반상가,상가,월세,1/4,10000,350,1억,90,90.55,남향,24.07.29.,37.585205,126.970532,청운동 대로변 코너 신축건물 1층 상가 임대,"['4년이내', '융자금없는', '1층', '주차가능']",,종로구 청운동
2436672639,일반상가,상가,월세,1/2,15000,700,"1억 5,000",250,214.52,서향,24.07.25.,37.585688,126.970293,대로변 위치한 점포로 권리 없고 전면 좋습니다.전체 건물 통임대 입니다.,"['25년이상', '1층', '주차가능', '총2층']",,종로구 청운동
2434607895,단독,단독/다가구,매매,2/B1,190000,0,19억,143,180.4,남향,24.07.14.,37.585434,126.97115,근생 신축 가능한 청운동 단독주택 입주가능,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 청운동
2433772576,단독,단독/다가구,월세,전체층/2,10000,700,1억,204,313,서향,24.07.09.,37.585688,126.970293,청운동 상가주택 통임대 대로변 입지 경복궁역 도보 10분거리,"['25년이상', '융자금없는', '방두개']",,종로구 청운동
2435643425,상가건물,건물,월세,2/B1,15000,700,"1억 5,000",203,312.57,,24.07.19.,37.585688,126.970293,청운동 대로변 건물임대,['25년이상'],,종로구 청운동
2434388082,연립,빌라,매매,2/3,80000,0,8억,100,100.35,북동향,24.07.12.,37.585861,126.9666,. 급 매매 7억입금가  공기좋음.  인왕산자락근처로 산책로 인근에 있음,"['25년이상', '급매', '방네개이상', '화장실두개']",,종로구 청운동
2433747697,연립,빌라,매매,중/3,80000,0,8억,147,100.35,남향,24.07.09.,37.585861,126.9666,인왕산 북악산이 펼쳐진 전망좋은 별장같은 빌라,"['25년이상', '대형평수', '방네개이상']",,종로구 청운동
