atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2437816872,일반상가,상가,월세,1/2,20000,1500,2억,164,164.86,북서향,24.08.01.,37.588066,126.981866,2층 상가건물 통임대 50p,"['25년이상', '융자금없는', '1층', '총2층']",,종로구 삼청동
2437275398,한옥주택,한옥주택,매매,1/B1,850000,0,85억,224,172.38,,24.07.29.,37.586988,126.98107,,['25년이상'],,종로구 삼청동
2437178976,일반상가,상가,월세,1/2,15000,1200,"1억 5,000",56,56.68,서향,24.07.29.,37.587757,126.981834,삼청동 채광좋은 1층 2층 통임대 상가 매물 권리금 有,"['25년이상', '1층', '천장에어컨', '총2층']",,종로구 삼청동
2437067323,일반상가,상가,월세,1/2,15000,1200,"1억 5,000",195,195.3,북향,24.07.29.,37.587757,126.981834,AAA 뚝섬역 성수핫플 연무장길 핵심라인 유동성 접근성 인테리어완벽,"['25년이상', '1층', '총2층', '북향']",,종로구 삼청동
2437025680,일반상가,상가,월세,2/3,13000,950,"1억 3,000",274,274.02,동향,24.07.27.,37.587136,126.981479,삼청동 감사원 입구 삼거리 대로변 전망좋고 목 좋은 무권리 상가,"['25년이상', '융자금없는', '중층', '주차가능']",,종로구 삼청동
2436568086,빌딩,건물,매매,3/B1,1000000,0,100억,295,560.53,,24.07.25.,37.586108,126.981533,금융연수원 인근 3층 근생건물 대지 89p,['25년이상'],,종로구 삼청동
2436212398,연립,빌라,매매,고/4,170000,0,17억,198,180.12,남동향,24.07.23.,37.587843,126.981101,종로구 삼청동 고급빌라 매매 올리모델링 완료된 내부컨디션 완벽한 매물,"['25년이내', '대형평수', '방네개이상']",,종로구 삼청동
2436011355,빌라,빌라,매매,고/4,170000,0,17억,198,180.12,남동향,24.07.22.,37.587843,126.981101,"종로 삼청동 고급빌라 매매, 올리모델링 완료된 최상의 내부컨디션 ","['25년이내', '대형평수', '방네개이상']",,종로구 삼청동
2436085325,빌라,빌라,매매,고/4,170000,0,17억,198,180.13,남동향,24.07.22.,37.587843,126.981101,"종로 삼청동 고급빌라 매매, 올리모델링 완료된 최상  컨디션 삼청빌라","['25년이내', '대형평수', '방네개이상']",,종로구 삼청동
2435071600,상가건물,건물,월세,2/-,15000,1000,"1억 5,000",321,195.77,,24.07.17.,37.587757,126.981834,"삼청로 대로변에 위치한 건물 1층,2층 통임대",['25년이상'],,종로구 삼청동
2435066462,중소형사무실,사무실,월세,2/4,5000,300,"5,000",110,110.36,동향,24.07.16.,37.587517,126.981523,,"['25년이상', '중층', '관리비20만원이하', '주차가능']",,종로구 삼청동
2435067278,일반상가,상가,월세,1/4,10000,600,1억,167,167.09,동향,24.07.16.,37.587517,126.981523,,"['25년이상', '1층', '관리비20만원이하', '주차가능']",,종로구 삼청동
2434640294,빌라,빌라,매매,중/4,170000,0,17억,211,192,남서향,24.07.15.,37.587843,126.981101,그대로 입주해도 좋은 집,"['25년이내', '대형평수', '방네개이상', '화장실두개']",,종로구 삼청동
2434692903,상가건물,건물,월세,2/-,15000,1000,"1억 5,000",321,195.77,,24.07.15.,37.587757,126.981834,서울 종로구 삼청동 레스토랑 카페 통임대,['25년이상'],,종로구 삼청동
2434659674,중소형사무실,사무실,월세,B1/2,20000,1500,2억,164,164.86,북향,24.07.15.,37.588066,126.981866,LE 삼청동 통임대 리모델링 첫입주 넓은 테라스 A급 매물,"['25년이상', '테라스', '급매', '지하층']",,종로구 삼청동
2434436776,한옥주택,한옥주택,매매,1/B1,850000,0,85억,743,172.38,,24.07.12.,37.586988,126.98107,,['10년이내'],,종로구 삼청동
2434194461,일반상가,상가,월세,2/3,13000,700,"1억 3,000",274,274.02,동향,24.07.11.,37.587136,126.981479,허위매물주의.삼청동 대로변에 위치한 상가사무실 79p 주차가능,"['25년이상', '융자금없는', '중층', '주차가능']",,종로구 삼청동
2434194327,일반상가,상가,월세,3/3,6000,450,"6,000",123,123.47,동향,24.07.11.,37.587136,126.981479,허위매물주의.삼청동 대로변에 위치한 상가사무실 37p 주차가능,"['25년이상', '융자금없는', '고층', '주차가능']",,종로구 삼청동
2434194172,일반상가,상가,월세,2/3,7000,500,"7,000",150,150.55,동향,24.07.11.,37.587136,126.981479,삼청동 대로변에 위치한 상가사무실 42p 주차가능,"['25년이상', '융자금없는', '중층', '주차가능']",,종로구 삼청동
2434051271,일반상가,상가,월세,B1/2,20000,1500,2억,164,164.86,북향,24.07.11.,37.588066,126.981866,"LE 통임대 리모델링 후 첫 입주 카페, 갤러리, 사무실 모두 가능","['25년이상', '지하층', '총2층', '북향']",,종로구 삼청동
2438486536,상가건물,건물,매매,3/B1,900000,0,90억,416,228.74,,24.08.06.,37.587316,126.983274,삼청동 한옥 북촌 도로변 리모델링 신축부지로 가능한 사옥건물로 추천,['25년이상'],,종로구 삼청동
2438563696,일반상가,상가,월세,2/3,3000,180,"3,000",53,53.14,남향,24.08.06.,37.58698,126.982484,AAA 삼청핫플 핵심라인 완벽인테리어 루프탑 디저트카페 실25펑,"['25년이상', '중층', '총3층', '남향']",,종로구 삼청동
2438577388,단독,단독/다가구,매매,1/-,490000,0,49억,254,42.98,남향,24.08.06.,37.587971,126.981946,1층 단독주택 대지 77p,"['25년이상', '방세개', '화장실한개', '남향']",,종로구 삼청동
2437758066,단독,단독/다가구,매매,1/-,490000,0,49억,259,42.98,남향,24.08.01.,37.587971,126.981946,삼청공원인근 메인거리 이면에 입지한 단독주택 귀한물건,"['25년이상', '방두개', '화장실한개']",,종로구 삼청동
2436340566,단독,단독/다가구,매매,3/B1,900000,0,90억,416,228.74,서향,24.07.24.,37.587316,126.983274,킹스 입지좋은 대로변 단독주택 ,"['25년이상', '방네개이상', '화장실세개', '주차가능']",,종로구 삼청동
2436036534,상가건물,건물,매매,3/B1,870000,0,87억,416,228.74,,24.07.22.,37.587316,126.983274,북촌 도로변  갤러리 미술관  사옥건물  신축용주택,['25년이상'],,종로구 삼청동
2437179436,중소형사무실,사무실,월세,2/3,5000,190,"5,000",83,83.87,남향,24.07.29.,37.587868,126.981991,주차 2대 가능한 2층 사무실 전용 26p,"['10년이내', '중층', '주차가능', '총3층']",,종로구 삼청동
2436565825,빌딩,건물,매매,3/-,1130000,0,113억,698,467.14,,24.07.25.,37.586331,126.981986,금융연수원 인근 대지141p 3층 근생건물,['10년이내'],,종로구 삼청동
2434502107,상가건물,건물,매매,3/-,900000,0,90억,416,228.74,,24.07.13.,37.587316,126.983274,"사옥,갤러리,스튜디오,카페,일반음식점등,바로앞 공영주차장공사중.",['25년이상'],,종로구 삼청동
2434138216,상가건물,건물,매매,3/B1,900000,0,90억,416,228.74,,24.07.11.,37.587316,126.983274,북촌 도로변  갤러리 미술관  사옥건물  신축용주택,['25년이상'],,종로구 삼청동
2435578308,일반상가,상가,월세,2/2,5000,190,"5,000",92,92.4,동향,24.07.19.,37.587868,126.981991,,"['10년이내', '융자금적은', '고층', '주차가능']",,종로구 삼청동
2435166791,단독,단독/다가구,매매,1/-,490000,0,49억,259,42.98,남향,24.07.17.,37.587971,126.981946,O 삼청공원인근 조용한곳에 위치한 귀한단독주택,"['25년이상', '방두개', '화장실한개', '남향']",,종로구 삼청동
2437681864,한옥주택,한옥주택,월세,1/B1,20000,900,2억,198,88.9,,24.08.01.,37.583585,126.981551,삼청동 고급스러운 인테리어의 신축 한옥주택,['25년이상'],,종로구 삼청동
2435468212,단독,단독/다가구,월세,1/-,20000,850,2억,199,89,남향,24.07.19.,37.583585,126.981551,삼청동 고급스러운 인테리어의 신축 한옥주택 월세,"['25년이상', '방세개', '화장실두개']",,종로구 삼청동
2435581621,일반상가,상가,월세,1/1,20000,900,2억,89,89.26,남향,24.07.19.,37.583585,126.981551,"삼청동 예쁜한옥상가 갤러리,까페,스튜디오등 입지여건좋음","['25년이상', '융자금없는', '1층', '남향']",,종로구 삼청동
2433616686,일반상가,상가,월세,1/1,20000,900,2억,89,89.26,남향,24.07.09.,37.583585,126.981551,신축한옥 마당 포함 60p 통임대,"['2년이내', '융자금없는', '마당', '1층']",,종로구 삼청동
2435578139,일반상가,상가,월세,1/1,20000,900,2억,199,89.26,남향,24.07.19.,37.583585,126.981551,,"['2년이내', '융자금없는', '1층', '천장에어컨']",,종로구 삼청동
